170205 170347.299|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\logs directory.
170205 170416.474|INFO|Thread-7|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170425.158|INFO|Thread-9|info|receiveObject start got Packet[LOGIN_REQUEST] #3 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170205 170425.158|INFO|Thread-9|info|receiveObject Packet[LOGIN_REQUEST] #3 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170205 170425.205|DEBUG|Thread-9|logDebugMessage|Login Event NEW_LOGIN ADMINISTRATOR1 @ site 1
170205 170425.205|INFO|Thread-9|info|LOGIN logged in ADMINISTRATOR1 @ site 1 at Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170425.221|INFO|Thread-9|info|sendToClient b4 to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #4 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170205 170425.221|INFO|Thread-9|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170425.221|INFO|Thread-9|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #4 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170425.237|INFO|Thread-9|info|sendToClient af to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #4 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170205 170425.237|INFO|Thread-9|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #5 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170425.422|INFO|Thread-9|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170517.622|INFO|Thread-12|info|receiveObject start got Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170517.622|INFO|Thread-12|info|receiveObject Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170517.638|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #4 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170517.638|INFO|Thread-12|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170517.638|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 1
170205 170517.654|INFO|Thread-12|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account administrator1
170205 170517.654|INFO|Thread-12|info|handlePacket start Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170517.654|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #4 ) handlePacket
170205 170517.654|INFO|Thread-12|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170517.669|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 1
170205 170517.669|INFO|Thread-12|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account administrator1
170205 170517.669|DEBUG|Thread-12|logDebugMessage|Account Event CHANGED ADMINISTRATOR1 @ site 1
170205 170517.669|INFO|Thread-12|info|sendToClient b4 to ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #6 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170205 170517.669|INFO|Thread-12|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170517.669|INFO|Thread-12|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #6 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170517.685|INFO|Thread-12|info|sendToClient af to ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #6 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170205 170517.904|INFO|Thread-12|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[UPDATE_SETTING] #6 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170517.982|INFO|Thread-12|info|handlePacket end Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170517.982|INFO|Thread-12|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170537.022|INFO|Thread-15|info|receiveObject start got Packet[GENERATE_ACCOUNTS] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.038|INFO|Thread-15|info|receiveObject Packet[GENERATE_ACCOUNTS] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.038|INFO|Thread-16|info|receiveObject start got Packet[GENERATE_ACCOUNTS] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.038|INFO|Thread-15|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #5 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170537.038|INFO|Thread-16|info|receiveObject Packet[GENERATE_ACCOUNTS] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.038|INFO|Thread-15|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.038|INFO|Thread-16|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #6 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170537.038|INFO|Thread-16|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.054|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 1
170205 170537.054|INFO|Thread-16|dumpPacket|   key: COUNT is: java.lang.Integer 50
170205 170537.054|INFO|Thread-16|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.054|INFO|Thread-16|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.054|INFO|Thread-16|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type TEAM
170205 170537.054|INFO|Thread-16|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.054|INFO|Thread-16|info|handlePacket start Packet[GENERATE_ACCOUNTS] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.054|INFO|Thread-16|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #6 ) handlePacket
170205 170537.054|INFO|Thread-16|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.054|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 1
170205 170537.054|INFO|Thread-15|dumpPacket|   key: COUNT is: java.lang.Integer 2
170205 170537.054|INFO|Thread-15|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.054|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 1
170205 170537.069|INFO|Thread-15|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.069|INFO|Thread-16|dumpPacket|   key: COUNT is: java.lang.Integer 50
170205 170537.069|INFO|Thread-16|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.069|INFO|Thread-16|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.069|INFO|Thread-16|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type TEAM
170205 170537.069|INFO|Thread-16|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.069|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM1 @ site 1
170205 170537.069|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM2 @ site 1
170205 170537.069|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM3 @ site 1
170205 170537.069|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM4 @ site 1
170205 170537.069|INFO|Thread-15|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type JUDGE
170205 170537.069|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM5 @ site 1
170205 170537.069|INFO|Thread-15|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM6 @ site 1
170205 170537.085|INFO|Thread-15|info|handlePacket start Packet[GENERATE_ACCOUNTS] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM7 @ site 1
170205 170537.085|INFO|Thread-17|info|receiveObject start got Packet[GENERATE_ACCOUNTS] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM8 @ site 1
170205 170537.085|INFO|Thread-15|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #5 ) handlePacket
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM9 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM10 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM11 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM12 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM13 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM14 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM15 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM16 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM17 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM18 @ site 1
170205 170537.085|INFO|Thread-17|info|receiveObject Packet[GENERATE_ACCOUNTS] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM19 @ site 1
170205 170537.085|INFO|Thread-15|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM20 @ site 1
170205 170537.085|INFO|Thread-17|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #7 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM21 @ site 1
170205 170537.085|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 1
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM22 @ site 1
170205 170537.085|INFO|Thread-17|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM23 @ site 1
170205 170537.085|INFO|Thread-15|dumpPacket|   key: COUNT is: java.lang.Integer 2
170205 170537.085|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM24 @ site 1
170205 170537.085|INFO|Thread-17|dumpPacket|    To: SERVER0 @ site 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM25 @ site 1
170205 170537.085|INFO|Thread-15|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM26 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: COUNT is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM27 @ site 1
170205 170537.100|INFO|Thread-15|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM28 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM29 @ site 1
170205 170537.100|INFO|Thread-15|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type JUDGE
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM30 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM31 @ site 1
170205 170537.100|INFO|Thread-15|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM32 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type SCOREBOARD
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM33 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.100|DEBUG|Thread-15|logDebugMessage|Account Event ADDED JUDGE1 @ site 1
170205 170537.100|INFO|Thread-17|info|handlePacket start Packet[GENERATE_ACCOUNTS] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM34 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|Packet GENERATE_ACCOUNTS (Seq #7 ) handlePacket
170205 170537.100|DEBUG|Thread-15|logDebugMessage|Account Event ADDED JUDGE2 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170537.100|INFO|Thread-17|dumpPacket|    To: SERVER0 @ site 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM35 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: COUNT is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM36 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 170537.100|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM37 @ site 1
170205 170537.100|INFO|Thread-17|dumpPacket|   key: START_COUNT is: java.lang.Integer 1
170205 170537.116|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM38 @ site 1
170205 170537.163|INFO|Thread-17|dumpPacket|   key: CLIENT_TYPE is: edu.csus.ecs.pc2.core.model.ClientType$Type SCOREBOARD
170205 170537.179|INFO|Thread-17|dumpPacket|   key: CREATE_ACCOUNT_ACTIVE is: java.lang.Boolean true
170205 170537.179|DEBUG|Thread-17|logDebugMessage|Account Event ADDED SCOREBOARD1 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM39 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM40 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM41 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM42 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM43 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM44 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM45 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM46 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM47 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM48 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM49 @ site 1
170205 170537.179|DEBUG|Thread-16|logDebugMessage|Account Event ADDED TEAM50 @ site 1
170205 170537.991|INFO|Thread-15|info|sendToClient (send) SERVER0 @ site 0 Packet[ADD_SETTING] #7 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170538.210|INFO|Thread-15|info|handlePacket end Packet[GENERATE_ACCOUNTS] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170538.210|INFO|Thread-15|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170538.225|INFO|Thread-17|info|sendToClient (send) SERVER0 @ site 0 Packet[ADD_SETTING] #8 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170538.272|INFO|Thread-16|info|sendToClient (send) SERVER0 @ site 0 Packet[ADD_SETTING] #9 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170538.319|INFO|Thread-17|info|handlePacket end Packet[GENERATE_ACCOUNTS] #7 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170538.382|INFO|Thread-17|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170538.569|INFO|Thread-16|info|handlePacket end Packet[GENERATE_ACCOUNTS] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170538.585|INFO|Thread-16|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170552.803|INFO|Thread-21|info|receiveObject start got Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170552.819|INFO|Thread-21|info|receiveObject Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170552.819|INFO|Thread-21|dumpPacket|Packet UPDATE_SETTING (Seq #8 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170552.819|INFO|Thread-21|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170552.819|INFO|Thread-21|dumpPacket|    To: SERVER0 @ site 1
170205 170552.819|INFO|Thread-21|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team2
170205 170552.819|INFO|Thread-21|info|handlePacket start Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170552.834|INFO|Thread-21|dumpPacket|Packet UPDATE_SETTING (Seq #8 ) handlePacket
170205 170552.834|INFO|Thread-21|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170552.850|INFO|Thread-21|dumpPacket|    To: SERVER0 @ site 1
170205 170552.850|INFO|Thread-21|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team2
170205 170552.850|DEBUG|Thread-21|logDebugMessage|Account Event CHANGED TEAM2 @ site 1
170205 170552.850|INFO|Thread-21|info|sendToClient b4 to TEAM2 @ site 1 Packet[UPDATE_SETTING] #10 SERVER0 @ site 1 -> TEAM2 @ site 1
170205 170552.897|WARNING|Thread-21|logWarning|Unable to send packet to TEAM2 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet6627.5.packet
170205 170552.928|INFO|Thread-21|info|sendToClient af to TEAM2 @ site 1 Packet[UPDATE_SETTING] #10 SERVER0 @ site 1 -> TEAM2 @ site 1
170205 170553.037|INFO|Thread-21|info|sendToClient (send) TEAM2 @ site 1 Packet[UPDATE_SETTING] #10 SERVER0 @ site 1 -> TEAM2 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170553.053|INFO|Thread-21|info|handlePacket end Packet[UPDATE_SETTING] #8 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170553.053|INFO|Thread-21|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170605.954|INFO|Thread-23|info|receiveObject start got Packet[UPDATE_SETTING] #9 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170605.970|INFO|Thread-23|info|receiveObject Packet[UPDATE_SETTING] #9 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170605.970|INFO|Thread-23|dumpPacket|Packet UPDATE_SETTING (Seq #9 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170605.970|INFO|Thread-23|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170605.970|INFO|Thread-23|dumpPacket|    To: SERVER0 @ site 1
170205 170605.970|INFO|Thread-23|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team3
170205 170605.970|INFO|Thread-23|info|handlePacket start Packet[UPDATE_SETTING] #9 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170605.970|INFO|Thread-23|dumpPacket|Packet UPDATE_SETTING (Seq #9 ) handlePacket
170205 170605.970|INFO|Thread-23|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170605.970|INFO|Thread-23|dumpPacket|    To: SERVER0 @ site 1
170205 170605.970|INFO|Thread-23|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team3
170205 170605.970|DEBUG|Thread-23|logDebugMessage|Account Event CHANGED TEAM3 @ site 1
170205 170605.970|INFO|Thread-23|info|sendToClient b4 to TEAM3 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> TEAM3 @ site 1
170205 170606.017|WARNING|Thread-23|logWarning|Unable to send packet to TEAM3 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet6627.6.packet
170205 170606.017|INFO|Thread-23|info|sendToClient af to TEAM3 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> TEAM3 @ site 1
170205 170606.095|INFO|Thread-23|info|sendToClient (send) TEAM3 @ site 1 Packet[UPDATE_SETTING] #12 SERVER0 @ site 1 -> TEAM3 @ site 1 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170606.110|INFO|Thread-23|info|handlePacket end Packet[UPDATE_SETTING] #9 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170606.110|INFO|Thread-23|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170614.234|INFO|Thread-25|info|receiveObject start got Packet[UPDATE_SETTING] #10 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170614.249|INFO|Thread-25|info|receiveObject Packet[UPDATE_SETTING] #10 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170614.249|INFO|Thread-25|dumpPacket|Packet UPDATE_SETTING (Seq #10 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170205 170614.249|INFO|Thread-25|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170614.249|INFO|Thread-25|dumpPacket|    To: SERVER0 @ site 1
170205 170614.265|INFO|Thread-25|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team4
170205 170614.265|INFO|Thread-25|info|handlePacket start Packet[UPDATE_SETTING] #10 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170205 170614.265|INFO|Thread-25|dumpPacket|Packet UPDATE_SETTING (Seq #10 ) handlePacket
170205 170614.281|INFO|Thread-25|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170614.281|INFO|Thread-25|dumpPacket|    To: SERVER0 @ site 1
170205 170614.281|INFO|Thread-25|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account team4
170205 170614.281|DEBUG|Thread-25|logDebugMessage|Account Event CHANGED TEAM4 @ site 1
170205 170614.281|INFO|Thread-25|info|sendToClient b4 to TEAM4 @ site 1 Packet[UPDATE_SETTING] #14 SERVER0 @ site 1 -> TEAM4 @ site 1
170205 170614.328|WARNING|Thread-25|logWarning|Unable to send packet to TEAM4 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet6627.7.packet
